Year,CUs_Sold,Avg_Credit_Price,Total_Revenue,Total_Costs,Net_Revenue
2024,0.0,25.0,0.0,136500.0,-136500.0
2025,0.0,25.5,0.0,1500.0,-1500.0
2026,0.0,26.01,0.0,1500.0,-1500.0
2027,0.0,26.530200000000004,0.0,1500.0,-1500.0
2028,0.0,27.060804,0.0,114000.0,-114000.0
2029,300.0,27.60202008,8280.606024,76545.0,-68264.39397599999
2030,0.0,28.1540604816,0.0,1500.0,-1500.0
2031,0.0,28.717141691232,0.0,1500.0,-1500.0
2032,0.0,29.291484525056642,0.0,1500.0,-1500.0
2033,0.0,29.877314215557774,0.0,114000.0,-114000.0
2034,23600.0,30.474860499868935,719206.7077969068,80040.0,639166.7077969067
2035,0.0,31.08435770986631,0.0,1500.0,-1500.0
2036,0.0,31.70604486406364,0.0,1500.0,-1500.0
2037,0.0,32.34016576134491,0.0,1500.0,-1500.0
2038,0.0,32.98696907657181,0.0,114000.0,-114000.0
2039,95900.0,33.64670845810325,3226719.341132101,90885.0,3135834.341132101
2040,0.0,34.31964262726531,0.0,1500.0,-1500.0
2041,0.0,35.00603547981062,0.0,1500.0,-1500.0
2042,0.0,35.70615618940683,0.0,1500.0,-1500.0
2043,0.0,36.42027931319497,0.0,114000.0,-114000.0
2044,330300.0,37.14868489945887,12270210.622291265,126045.0,12144165.622291265
2045,0.0,37.89165859744805,0.0,1500.0,-1500.0
2046,0.0,38.64949176939701,0.0,1500.0,-1500.0
2047,0.0,39.42248160478496,0.0,1500.0,-1500.0
2048,0.0,40.210931236880654,0.0,114000.0,-114000.0
2049,499000.0,41.01514986161827,20466559.780947518,151350.0,20315209.780947518
2050,0.0,41.83545285885063,0.0,1500.0,-1500.0
2051,0.0,42.67216191602765,0.0,1500.0,-1500.0
2052,0.0,43.5256051543482,0.0,1500.0,-1500.0
2053,0.0,44.39611725743517,0.0,114000.0,-114000.0
2054,666600.0,45.28403960258387,30186340.799082406,176490.0,30009850.799082406
2055,0.0,46.18972039463555,0.0,1500.0,-1500.0
2056,0.0,47.113514802528265,0.0,1500.0,-1500.0
2057,0.0,48.055785098578816,0.0,1500.0,-1500.0
2058,0.0,49.01690080055041,0.0,114000.0,-114000.0
2059,798100.0,49.99723881656141,39902796.299497664,196215.0,39706581.299497664
2060,0.0,50.99718359289264,0.0,1500.0,-1500.0
2061,0.0,52.01712726475049,0.0,1500.0,-1500.0
2062,0.0,53.0574698100455,0.0,1500.0,-1500.0
2063,0.0,54.1186192062464,0.0,114000.0,-114000.0
2064,893800.0,55.20099159037134,49338646.2834739,210570.0,49128076.2834739
